month,tmax,tmin,twater,humid,tsun,prcp,location
1,14,8,14,78,5,15,Lisbon
2,15,8,14,72,7,12,Lisbon
3,17,10,14,71,7,14,Lisbon
4,20,12,15,63,9,10,Lisbon
5,21,13,16,63,10,10,Lisbon
6,25,15,17,60,11,5,Lisbon
7,27,17,18,55,12,2,Lisbon
8,28,17,19,57,12,2,Lisbon
9,26,17,19,62,9,6,Lisbon
10,22,14,18,67,7,9,Lisbon
11,17,11,16,75,6,13,Lisbon
12,15,9,15,75,5,15,Lisbon
1,20,14,19,68,6,7,Tenerife
2,21,14,18,67,7,5,Tenerife
3,22,15,18,64,7,4,Tenerife
4,23,16,18,61,8,2,Tenerife
5,24,17,19,63,9,1,Tenerife
6,26,19,20,63,10,,Tenerife
7,28,20,21,59,11,,Tenerife
8,29,21,22,62,11,,Tenerife
9,28,21,23,66,8,,Tenerife
10,26,19,23,67,7,4,Tenerife
11,24,17,21,68,6,5,Tenerife
12,21,16,20,68,5,7,Tenerife
1,14,6,14,78,5,8,Mallorca
2,15,6,13,76,6,6,Mallorca
3,17,8,14,75,6,8,Mallorca
4,19,10,15,72,8,5,Mallorca
5,22,13,17,72,10,5,Mallorca
6,26,17,21,68,10,3,Mallorca
7,29,20,24,68,11,1,Mallorca
8,29,20,25,70,11,3,Mallorca
9,27,18,24,74,8,6,Mallorca
10,23,14,21,77,6,9,Mallorca
11,18,10,18,78,6,8,Mallorca
12,15,8,15,78,5,9,Mallorca
1,23,16,20.2,66,8,10,Auckland
2,23,16,21.2,67,7,10,Auckland
3,22,15,20.9,70,6,12,Auckland
4,19,13,19.6,74,5,15,Auckland
5,17,11,18,76,4,19,Auckland
6,14,9,16.4,79,4,20,Auckland
7,13,8,15.1,80,4,20,Auckland
8,14,8,14.6,76,5,19,Auckland
9,16,9,15,72,6,16,Auckland
10,17,11,15.6,70,6,17,Auckland
11,19,12,16.9,68,7,15,Auckland
12,21,14,18.4,68,7,12,Auckland
1,3.8,-1.4,,85.0,1.5,11.0,Karlsruhe
2,6.1,-0.7,,80.0,2.7,10.0,Karlsruhe
3,10.9,1.9,,74.0,3.9,11.0,Karlsruhe
4,15.4,4.9,,69.0,5.4,10.0,Karlsruhe
5,19.9,8.9,,69.0,6.8,12.0,Karlsruhe
6,23.0,12.2,,69.0,7.3,11.0,Karlsruhe
7,25.5,14.0,,67.0,7.9,10.0,Karlsruhe
8,25.1,13.8,,71.0,7.1,10.0,Karlsruhe
9,21.5,10.6,,77.0,5.7,8.0,Karlsruhe
10,15.3,6.7,,82.0,3.6,9.0,Karlsruhe
11,8.5,2.4,,84.0,2.0,11.0,Karlsruhe
12,4.8,-0.4,,84.0,1.5,11.0,Karlsruhe